Jeff Rosenstock,POST-
Cupcakke,Ephorize
Avatar,Avatar Country
Black Rebel Motorcycle Club,Wrong Creatures
Black Veil Brides,Vale
Børns,Blue Madonna
Camila Cabello,Camila
Corrosion of Conformity,No Cross No Crown
Francesca Michielin,2640
Joe Satriani,What Happens Next
Meghan Patrick,Country Music Made Me Do It
Tonight Alive,Underworld
Anvil,Pounding the Pavement
Black Label Society,Grimmest Hits
Eden,Vertigo
Fall Out Boy,Mania
First Aid Kit,Ruins
The Go! Team,Semicircle
JPEGMafia,Veteran
Magnum,Lost on the Road to Eternity
Mudhoney,LiE
Of Mice & Men,Defy
They Might Be Giants,I Like Fun
Tune-Yards,I Can Feel You Creep Into My Private Life
Beth Hart and Joe Bonamassa,Black Coffee
Craig David,The Time Is Now
The Dangerous Summer,The Dangerous Summer
Loudness,Rise to Glory
Marmozets,Knowing What You Know Now
Migos,Culture II
Nils Frahm,All Melody
Orphaned Land,Unsung Prophets & Dead Messiahs
Pestilence,Hadeon
Therion,Beloved Antichrist
Ty Segall,Freedom's Goblin
Waterparks,Entertainment
Awolnation,Here Come the Runts
Don Broco,Technology
Justin Timberlake,Man of the Woods
Rhye,Blood
Rich Brian,Amen
Saxon,Thunderbolt
Shannon Noll,Unbroken
The Atlas Moth,Coma Noir
Dashboard Confessional,Crooked Shadows
Don Diablo,Future
Franz Ferdinand,Always Ascending
MGMT,Little Dark Age
Toto,40 Trips Around the Sun
The Wombats,Beautiful People Will Ruin Your Life
Band-Maid,World Domination
Kodak Black,Heart Break Kodak
Brandi Carlile,"By the Way, I Forgive You"
Car Seat Headrest,Twin Fantasy (Face to Face)
Dita Von Teese,Dita Von Teese
Escape the Fate,I Am Human
Felix Jaehn,I
ionnalee,Everyone Afraid to Be Forgotten
Ought,Room Inside the World
Poliça and s t a r g a z e,Music for the Long Emergency
Pop Evil,Pop Evil
Senses Fail,"If There Is Light, It Will Find You"
6ix9ine,Day69
Danielle Nicole,Cry No More
Vance Joy,Nation of Two
Ruby Fields,Your Dad's Opinion for Dinner
Alma,Heavy Rules Mixtape
Andrew W.K.,You're Not Alone
Moby,"Everything Was Beautiful, and Nothing Hurt"
Superorganism,Superorganism
Tory Lanez,Memories Don't Die
Calum Scott,Only Human
Datarock,Face the Brutality
David Byrne,American Utopia
Editors,Violence
Judas Priest,Firepower
Lil Yachty,Lil Boat 2
Logic,Bobby Tarantino II
Myles Kennedy,Year of the Tiger
Ocean Alley,Chiaroscuro
Suicidal Tendencies,Get Your Fight On!
Dorothy,28 Days in the Valley
Fickle Friends,You Are Someone Else
The Fratellis,In Your Own Sweet Time
Laura Pausini,Fatti sentire
Scotty McCreery,Seasons Change
Stone Temple Pilots,Stone Temple Pilots
XXXTentacion,?
Dami Im,I Hear a Song
George Ezra,Staying at Tamara's
Guided by Voices,Space Gun
Jack White,Boarding House Reach
Preoccupations,New Material
Toni Braxton,Sex & Cigarettes
Troy Cassar-Daley,Lost & Found
deadmau5,Where's the Drop?
En Vogue,Electric Café
Hayley Kiyoko,Expectations
Kacey Musgraves,Golden Hour
Kate Nash,Yesterday Was Forever
Red Sun Rising,Thread
Rich the Kid,The World Is Yours
Steffany Gretzinger,Blackout
The Voidz,Virtue
The Weeknd,"My Dear Melancholy,"
Cardi B,Invasion of Privacy
CNCO,CNCO
E-40 and B-Legit,Connected and Respected
Eels,The Deconstruction
Gin Wigmore,Ivory
Kali Uchis,Isolation
Kylie Minogue,Golden
Thirty Seconds to Mars,America
Tina Arena,Quand tout Recommence
Unknown Mortal Orchestra,Sex & Food
Various artists,Revamp: Reimagining the Songs of Elton John & Bernie Taupin
Various artists,Restoration: Reimagining the Songs of Elton John and Bernie Taupin
Beth Hart,Front and Center – Live from New York
Breaking Benjamin,Ember
Gurrumul,Djarimirri (Child of the Rainbow)
King Tuff,The Other
Manic Street Preachers,Resistance Is Futile
Sofi Tukker,Treehouse
Tinashe,Joyride
Bishop Briggs,Church of Scars
J. Cole,KOD
Kimbra,Primal Heart
My Indigo,My Indigo
Mýa,TKO (The Knock Out)
Pennywise,Never Gonna Die
A Perfect Circle,Eat the Elephant
Samantha Jade,Best of My Love
Sting and Shaggy,44/876
Stryper,God Damn Evil
Raury,The Woods
Anne-Marie,Speak Your Mind
Blossoms,Cool Like You
Elohim,Elohim
Godsmack,When Legends Rise
Janelle Monáe,Dirty Computer
Kasey Chambers and the Fireside Disciples,Campfire
Keith Urban,Graffiti U
Matt Cardle,Time to Be Alive
Missy Higgins,Solastalgia
Okkervil River,In the Rainbow Rain
Poo Bear,Poo Bear Presents Bearthday Music
Post Malone,Beerbongs & Bentleys
Saara Aalto,Wild Wild Wonderland
Steve Angello,Human
Titãs,Doze Flores Amarelas: Act I
YoungBoy Never Broke Again,Until Death Call My Name
Belly,Dove
Frank Turner,Be More Kind
Gaz Coombes,World's Strongest Man
Ghastly,The Mystifying Oracle
Jon Hopkins,Singularity
Lake Street Dive,Free Yourself Up
Leon Bridges,Good Thing
Plan B,Heaven Before All Hell Breaks Loose
Shinedown,Attention Attention
Titãs,Doze Flores Amarelas: Act II
Arctic Monkeys,Tranquility Base Hotel & Casino
Bad Wolves,Disobey
Beach House,7
Charlie Puth,Voicenotes
Loreena McKennitt,Lost Souls
Titãs,Doze Flores Amarelas: Act III
BTS,Love Yourself: Tear
Courtney Barnett,Tell Me How You Really Feel
Five Finger Death Punch,And Justice for None
James Bay,Electric Light
Maluma,F.A.M.E.
Parquet Courts,Wide Awake!
Juice Wrld,Goodbye & Good Riddance
ASAP Rocky,Testing
Chvrches,Love Is Dead
Dear Nora,Skulls Example
J Balvin,Vibras
Jessie J,R.O.S.E.
Lordi,Sexorcism
Prefuse 73,Sacrifices
Pusha T,Daytona
Shawn Mendes,Shawn Mendes
Snow Patrol,Wildness
Ben Howard,Noonday Dream
Father John Misty,God's Favorite Customer
Kanye West,Ye
Kara Grainger,Living with Your Ghost
Natalie Prass,The Future and the Past
Owl City,Cinematic
The Presets,Hi Viz
Roger Daltrey,As Long as I Have You
Dave Matthews Band,Come Tomorrow
Dierks Bentley,The Mountain
Jorja Smith,Lost & Found
Kids See Ghosts,Kids See Ghosts
Lily Allen,No Shame
Lykke Li,So Sad So Sexy
Sheppard,Watching the Sky
Sugarland,Bigger
5 Seconds of Summer,Youngblood
Buddy Guy,The Blues Is Alive and Well
Christina Aguilera,Liberation
Chromeo,Head Over Heels
Gin Blossoms,Mixed Reality
Jay Rock,Redemption
Jess & Matt,Songs from the Village
Johnny Marr,Call the Comet
Mike Shinoda,Post Traumatic
Nas,Nasir
Rico Nasty,Nasty
Sophie,Oil of Every Pearl's Un-Insides
The Carters (Beyoncé and Jay-Z),Everything Is Love
Bebe Rexha,Expectations
Dawes,Passwords
Death Grips,Year of the Snitch
Gang Gang Dance,Kazuashita
Jack River,Sugar Mountain
Marshmello,Joytime II
Nine Inch Nails,Bad Witch
Panic! at the Disco,Pray for the Wicked
Teyana Taylor,K.T.S.E.
Bullet for My Valentine,Gravity
Drake,Scorpion
Florence and the Machine,High as Hope
Gorillaz,The Now Now
Judith Durham,So Much More
Sean Paul,Mad Love the Prequel
Red Velvet,Cookie Jar
DevilDriver,Outlaws 'til the End: Vol. 1
Years & Years,Palo Santo
Twice,Summer Nights
Adam Brand,Milestones... 20 Years
Amy Shark,Love Monster
Cowboy Junkies,All That Reckoning
Dirty Projectors,Lamp Lit Prose
Rick Astley,Beautiful Life
The Vamps,Night & Day (Day Edition)
Various artists,Mamma Mia! Here We Go Again
Wet,Still Run
88rising,Head in the Clouds
Daron Malakian and Scars on Broadway,Dictator
The Internet,Hive Mind
Meg Myers,Take Me to the Disco
Ty Segall and White Fence,Joy
Denzel Curry,Ta13oo
Halestorm,Vicious
Tim Campbell,Electrifying 80s
The Screaming Jets,Gotcha Covered
Diesel,30: The Greatest Hits
Iggy Azalea,Survive the Summer
James,Living in Extraordinary Times
Lovelytheband,Finding It Hard to Smile
Mac Miller,Swimming
Travis Scott,Astroworld
YG,Stay Dangerous
As It Is,The Great Depression
Foxing,Nearer My God
Jake Shears,Jake Shears
Jason Mraz,Know.
Lali,Brava
Nicki Minaj,Queen
Trippie Redd,Life's a Trip
Aminé,OnePointFive
Ayumi Hamasaki,Trouble
Animal Collective,Tangerine Reef
Ariana Grande,Sweetener
Blue October,I Hope You're Happy
Death Cab for Cutie,Thank You for Today
Gabrielle,Under My Skin
Miles Kane,Coup de Grâce
Mitski,Be the Cowboy
Ninja Sex Party,Cool Patrol
Stefflon Don,Secure
Young Thug,Slime Language
Fall Out Boy,Lake Effect Kid
Alice in Chains,Rainier Fog
The Amity Affliction,Misery
Beccy Cole,Lioness
Honne,Love Me / Love Me Not
Interpol,Marauder
Jain,Souldier
Liam Payne,First Time
Ozuna,Aura
White Denim,Performance
Anna Calvi,Hunter
Eminem,Kamikaze
Idles,Joy as an Act of Resistance
Troye Sivan,Bloom
Wild Nothing,Indigo
Why Don't We,8 Letters
Clutch,Book of Bad Decisions
Estelle,Lovers Rock
Hozier,Nina Cried Power
Lenny Kravitz,Raise Vibration
Paul McCartney,Egypt Station
Paul Simon,In the Blue Light
Suicidal Tendencies,Still Cyco Punk After All These Years
Ana Popović,Like It on Top
Ann Wilson,Immortal
Carrie Underwood,Cry Pretty
David Guetta,7
Good Charlotte,Generation Rx
Pale Waves,My Mind Makes Noises
Tony Bennett and Diana Krall,Love Is Here to Stay
Tori Kelly,Hiding Place
Brockhampton,Iridescence
Josh Groban,Bridges
Macy Gray,Ruby
Metric,Art of Doubt
Noah Cyrus,Good Cry
Prince,Piano and a Microphone 1983
Say Lou Lou,Immortelle
Suede,The Blue Hour
Therapy?,Cleave
Voivod,The Wake
Cher,Dancing Queen
Cypress Hill,Elephants on Acid
Eves Karydas,Summerskin
Getter,Visceral
Kodaline,Politics of Living
Lil Wayne,Tha Carter V
Logic,YSIV
Loretta Lynn,Wouldn't It Be Great
Nile Rodgers and Chic,It's About Time
Rod Stewart,Blood Red Roses
Sigala,Brighter Days
Pabllo Vittar,Não Para Não
