Legion of the Damned,Slaves of the Shadow Realm
Born of Osiris,The Simulation
Gnash,We
The Kentucky Headhunters,Live at the Ramblin' Man Fair
Randy Houser,Magnolia
Soilwork,Verkligheten
GFriend,Time for Us
Falz,Moral Instruction
Christina Perri,Songs for Carmella: Lullabies & Sing-a-Longs
Alice Merton,Mint
Cody Johnson,Ain't Nothin' to It
Cub Sport,Cub Sport
Fever 333,Strength in Numb333rs
Flotsam and Jetsam,The End of Chaos
Future,The Wizrd
Guster,Look Alive
James Blake,Assume Form
Maggie Rogers,Heard It in a Past Life
Mike Posner,A Real Good Kid
Papa Roach,Who Do You Trust?
Ronnie Milsap,Ronnie Milsap: The Duets
Sharon Van Etten,Remind Me Tomorrow
Steve Gunn,The Unseen In Between
Switchfoot,Native Tongue
Toro y Moi,Outer Peace
Julia Michaels,Inner Monologue Part 1
Weezer,Weezer (Teal Album)
Backstreet Boys,DNA
Bethel Music,Victory
Better Oblivion Community Center,Better Oblivion Community Center
Blood Red Shoes,Get Tragic
Boogie,Everything's for Sale
Bring Me the Horizon,Amo
The Dandy Warhols,Why You So Crazy
Dave Keuning,Prismism
Dawn Richard,New Breed
Fedez,Paranoia Airlines
Jack & Jack,A Good Friend Is Nice
Michael Franti & Spearhead,"Stay Human, Vol. II"
Mike Krol,Power Chords
The Neal Morse Band,The Great Adventure
Rival Sons,Feral Roots
Rudimental,Toast to Our Differences
Skunk Anansie,25Live@25
Steve Hackett,At the Edge of Light
Sunflower Bean,King of the Dudes
Terror Jr,"Unfortunately, Terror Jr"
Trevor Horn,Reimagines the Eighties
American Authors,Seasons
Avantasia,Moonglow
Beirut,Gallipoli
Brian Cadd,Silver City
Broods,Don't Feed the Pop Monster
Busted,Half Way There
Cassadee Pope,Stages
Claire Richards,My Wildest Dreams
Girlpool,What Chaos Is Imaginary
Guided by Voices,Zeppelin Over China
Highasakite,Uranium Heart
Ladytron,Ladytron
Luis Fonsi,Vida
Nina Nesbitt,"The Sun Will Come Up, the Seasons Will Change"
Set It Off,Midnight
The Specials,Encore
White Lies,Five
Within Temptation,Resist
Ariana Grande,"Thank U, Next"
LCD Soundsystem,Electric Lady Sessions
Mayra Andrade,Manga
Meghan Trainor,The Love Train
Panda Bear,Buoys
Avril Lavigne,Head Above Water
Baby Animals,Greatest Hits
Betty Who,Betty
Chaka Khan,Hello Happiness
Florida Georgia Line,Can't Say I Ain't Country
Hayes Carll,What It Is
Homeshake,Helium
India Arie,Worthy
Methyl Ethel,Triage
Rotting Christ,The Heretics
RY X,Unfurl
Tedeschi Trucks Band,Signs
Badflower,"OK, I'm Sick"
Candlemass,The Door to Doom
Diplo,Europa
Dream Theater,Distance over Time
Gary Clark Jr.,This Land
Gunna,Drip or Drown 2
Hilltop Hoods,The Great Expanse
Julia Jacklin,Crushing
Kehlani,While We Wait
Kerli,Shadow Works
Last in Line,II
Lil Pump,Harverd Dropout
Michael W. Smith,Awaken: The Surrounded Experience
Offset,Father of 4
Overkill,The Wings of War
Rock Goddess,This Time
T-Pain,1UP
Uffie,Tokyo Love Hotel
2 Chainz,Rap or Go to the League
Anteros,When We Land
Bryan Adams,Shine a Light
Demon Hunter,Peace
Demon Hunter,War
Hozier,"Wasteland, Baby!"
In Flames,"I, the Mask"
The Japanese House,Good at Falling
Pond,Tasmania
Queensrÿche,The Verdict
Regurgitator's Pogogo Show,The Really Really Really Really Boring Album
Reignwolf,Hear Me Out
Solange,When I Get Home
Tom Walker,What a Time to Be Alive
Weezer,Weezer (Black Album)
While She Sleeps,So What?
Amanda Palmer,There Will Be No Intermission
David Gray,Gold in a Brass Age
Dido,Still on My Mind
Foals,Everything Not Saved Will Be Lost – Part 1
Gesaffelstein,Hyperion
James Morrison,You're Stronger Than You Know
Juice Wrld,Death Race for Love
Ligabue,Start
Maren Morris,Girl
Sasami,Sasami
Sigrid,Sucker Punch
Tesla,Shock
Lil Gotit,Crazy But It's True
Blaqk Audio,Only Things We Love
The Cinematic Orchestra,To Believe
Dan Sultan,Aviary Takes
Greyson Chance,Portraits
Jack Savoretti,Singing to Strangers
Jerry Garcia Band,Electric on the Eel
Joanne Shaw Taylor,Reckless Heart
Johnny Orlando,Teenage Fever
Karen O and Danger Mouse,Lux Prima
Matmos,Plastic Anniversary
Sophie Ellis-Bextor,The Song Diaries
Flume,Hi This Is Flume
American Football,American Football (LP3)
Apparat,LP5
Avey Tare,Cows on Hourglass Pond
Dean Lewis,A Place We Knew
Jenny Lewis,On the Line
Megadeth,Warheads on Foreheads
Mötley Crüe,The Dirt Soundtrack
Nav,Bad Habits
Nesli,Vengo in pace
Orville Peck,Pony
Rich the Kid,The World Is Yours 2
Wallows,Nothing Happens
Senidah,Bez tebe
Logic,Supermarket
Ben Platt,Sing to Me Instead
Billie Eilish,"When We All Fall Asleep, Where Do We Go?"
The Black Sorrows,Citizen John
Devin Townsend,Empath
George Strait,Honky Tonk Time Machine
I Prevail,Trauma
Jamie Lawson,The Years in Between
The Maine,You Are OK
Marvin Gaye,You're the Man
Mdou Moctar,Ilana (The Creator)
Whitechapel,The Valley
Jon Anderson,1000 Hands: Chapter One
Blackpink,Kill This Love
Anitta,Kisses
Circa Waves,What's It Like Over There?
Dennis Lloyd,Exident
Khalid,Free Spirit
Periphery,Periphery IV: Hail Stan
PNL,Deux frères
PUP,Morbid Stuff
Reba McEntire,Stronger Than the Truth
Russell Morris,Black and Blue Heart
Sara Bareilles,Amidst the Chaos
Tayla Parx,We Need to Talk
Weyes Blood,Titanic Rising
Aaron Lewis,State I'm In
Anderson .Paak,Ventura
Andy Black,The Ghost of Ohio
BTS,Map of the Soul: Persona
The Chemical Brothers,No Geography
Dan Sultan,Nali & Friends
Emma Bunton,My Happy Place
Glen Hansard,This Wild Willing
John Paul White,The Hurting Kind
LSD,"Labrinth, Sia & Diplo Present... LSD"
Melissa Etheridge,The Medicine Show
Norah Jones,Begin Again
Sara Storer,Raindance
The Flaming Lips,King's Mouth
