Track ID,accousticness,danceability,duration,energy,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
7KeLWc38KGfUhZGfnBkytp,0.72,0.372,269707,0.231,0,1,0.231,0.104,-10.854,1,0.0338,79.085,4,0.256,15
2U2bbwA7SiilYFyVZgXolr,0.00425,0.49,185787,0.656,0.000388,0,0.656,0.0921,-4.435,1,0.0511,96.144,1,0.303,37
5OnY3U1JERx8FsngbVP5FG,0.0924,0.513,242920,0.744,0.00643,7,0.744,0.308,-7.668,1,0.0481,120.035,4,0.252,30
0OsebJSCiWwE171V9S8j6t,1.85e-05,0.48,173844,0.87,0.877,2,0.87,0.087,-5.582,1,0.116,160.028,4,0.727,13
3IYi0aZUFE3btwNPhEhwbV,0.0359,0.512,334880,0.734,0,1,0.734,0.0755,-4.124,0,0.0243,84.999,4,0.15,14
6e2Kx59w99KZG9QNMkXFVb,0.454,0.748,239014,0.371,1.19e-06,2,0.371,0.0794,-10.607,1,0.0361,138.35,4,0.546,23
3Z6T4Pn6SUIhypnRVGVwFQ,0.106,0.131,26520,0.241,0.00054,5,0.241,0.507,-14.955,0,0.0349,205.916,5,0.107,0
3RykIiejIO6BEhxSSrXRhH,0.0116,0.909,166850,0.52,2.91e-06,2,0.52,0.0677,-7.417,1,0.0606,119.825,4,0.576,53
34ogu9WLRzVwPTh9J8KdVI,0.0671,0.537,172920,0.719,0.000172,4,0.719,0.088,-5.695,1,0.124,142.152,4,0.266,36
7LPTfbLRyfYcEpdN5gnpes,0.00213,0.798,183507,0.775,0.224,11,0.775,0.0913,-6.129,1,0.0521,127.029,4,0.767,29
2rzJi1cmi4IsyBJeSGVHK8,0.00213,0.617,329032,0.948,0.177,1,0.948,0.244,-3.983,1,0.0414,123.997,4,0.901,0
33b2wX9d0kxqxhi7lcsC1A,0.212,0.653,218387,0.859,0,0,0.859,0.111,-3.048,1,0.0449,174.038,4,0.706,70
73bva6qBjtCQd9MtwgRlLa,0.296,0.618,203933,0.512,0,10,0.512,0.331,-5.195,1,0.142,115.98,4,0.604,44
6vVFqMUDG316z5EXYHs7fE,0.00446,0.689,221612,0.892,0.00932,4,0.892,0.435,-3.95,0,0.246,110.09,4,0.77,55
2MNpVDZaeKF1YhFwfNyV5D,0.906,0.767,189667,0.299,7.9e-06,0,0.299,0.123,-14.46,1,0.302,90.066,4,0.614,55
1HvCFAUIWQsWV9zud3UhDl,0.253,0.655,198880,0.672,0,1,0.672,0.312,-4.966,1,0.0581,98.005,4,0.675,69
0x5ptUe0lw50eIRUGBfsb8,0.00549,0.749,178760,0.435,2.3e-06,9,0.435,0.0935,-7.595,1,0.229,91.718,4,0.481,39
7u7zPrcTKmY1Gh5wujgWU3,0.000747,0.621,217040,0.978,3.6e-06,2,0.978,0.577,-3.517,0,0.0395,114.946,4,0.854,22
49HM5sZr87pUMEglnq6AP4,0.128,0.817,222013,0.616,9.9e-05,4,0.616,0.0917,-5.003,1,0.0402,102.005,4,0.621,39
6vx0xD9tCnPhbOdC1s0cHM,0.572,0.0971,103125,0.178,0.934,7,0.178,0.0824,-15.84,1,0.0351,169.534,4,0.0458,33
67Mk5M6F7Zf8dVFPECPTZU,0.0344,0.907,170560,0.583,0,0,0.583,0.0931,-5.763,1,0.0723,126.009,4,0.875,43
0i3IEvSxNFRAxetOk6t3d5,0.0795,0.852,251693,0.609,2.31e-05,8,0.609,0.491,-4.731,1,0.0363,113.978,4,0.526,38
3MVkgsmFZzB7TbFyZ9d2sj,0.0115,0.598,247427,0.924,0,11,0.924,0.212,-4.735,0,0.0431,116.012,4,0.566,33
29tIhq8ByVaG5GVlnS4XRL,0.0213,0.643,327547,0.744,0.287,5,0.744,0.17,-8.021,1,0.029,124.004,4,0.194,56
1ql9UO3B5T3qP3NOAg0rr0,0.369,0.475,207240,0.513,0,8,0.513,0.162,-11.05,0,0.855,77.274,4,0.261,46
40nMtVtsk7u3r4RuYzPvRK,0.00455,0.577,237053,0.507,0,10,0.507,0.149,-7.027,0,0.0366,127.931,4,0.245,35
3iGz75NJkqHubYUMRELLyP,0.506,0.61,192607,0.318,0.000617,8,0.318,0.102,-9.95,1,0.148,109.491,3,0.214,63
7D4BrKwZdMNTlMy9Pdrht4,0.00034,0.6,259040,0.982,0,7,0.982,0.374,-2.688,1,0.0833,124.031,4,0.564,53
2tcr3VwFiRfjFQ0aJzg51A,0.347,0.536,181973,0.835,1.03e-05,9,0.835,0.265,-8.123,1,0.0328,161.059,4,0.923,4
5Sr8ij6ADXwyxYHuGVtUTR,0.517,0.651,169520,0.535,0.000122,0,0.535,0.111,-8.978,0,0.197,119.98,4,0.409,18
52Wos2ElRt3y0LzUwhJ8Zb,0.137,0.648,221240,0.71,0.0294,10,0.71,0.0417,-7.853,0,0.039,127.965,4,0.408,25
7dcmZskqXONZuIuqGRLJ1C,0.864,0.399,76120,0.222,0.802,5,0.222,0.0906,-11.073,1,0.0433,128.231,4,0.0387,59
40jY4X77xwW1Cv1riZsasU,0.699,0.341,401600,0.529,0.0048,0,0.529,0.107,-8.009,0,0.0348,139.916,3,0.265,26
1cTMsSJrCUuKF6jsccMGWR,0.0758,0.772,134688,0.64,0,1,0.64,0.0637,-6.727,1,0.0993,79.984,4,0.162,21
75V0RdaCFKsQZX91mI9AD3,0.00447,0.736,192456,0.747,7.29e-05,2,0.747,0.137,-6.275,1,0.171,106.994,4,0.483,54
6QZo2TgclkUMwJgggi8QSQ,0.182,0.682,295347,0.584,0.000107,9,0.584,0.0468,-9.507,1,0.031,92.793,4,0.709,50
62e5c5tNuR641PEsB6e5wD,5.66e-05,0.181,225187,0.941,0.0109,7,0.941,0.358,-5.222,1,0.0659,183.589,4,0.481,39
6BDN8tPJOiU42kDvkZkUKt,0.122,0.629,197693,0.652,0.0405,1,0.652,0.586,-7.28,1,0.053,149.987,4,0.618,21
7CijQSdJCwgFFfglzXzRSp,0.00497,0.416,246720,0.542,0.79,11,0.542,0.148,-8.336,0,0.0285,137.945,4,0.11,8
4xrZaK07gmaIAdAXr3jbbI,0.000209,0.378,138320,0.991,0.00631,8,0.991,0.34,-3.084,1,0.0516,185.02,4,0.533,35
4EgOBJmOd71QqAlqFXQxCy,0.965,0.651,214959,0.291,0.655,0,0.291,0.0954,-16.103,1,0.0491,99.014,4,0.511,38
6HwBQrKyoBIEA2Pmt4h37D,0.282,0.481,218947,0.446,1.14e-06,0,0.446,0.352,-6.593,1,0.109,177.776,4,0.493,32
0aSkvPKb8Cxa6Y0l3XEeeg,0.927,0,10470,0.18,0,10,0.18,0.182,-25.386,0,0,0,0,0,0
5UX9m7QIEvLyJr4SXZYk48,0.0743,0.366,257819,0.773,0.0264,2,0.773,0.345,-5.064,1,0.0471,128.102,4,0.143,23
2WNYahTKs6wC5GiM1kKzT9,0.0746,0.947,274176,0.719,0.421,10,0.719,0.0505,-3.646,0,0.0546,124.966,4,0.964,15
249c7UYQRwLb8tUykq8IwX,0.0598,0.727,245080,0.85,0.000109,1,0.85,0.312,-4.965,1,0.0401,113.019,4,0.801,49
7mVj1R3omIBoyFaMDV0fG4,0.0111,0.432,163413,0.817,0.0662,9,0.817,0.137,-3.162,1,0.0343,118.688,4,0.604,42
19m3E0nMZobyA93AxMXC32,0.0811,0.631,192859,0.672,0,11,0.672,0.154,-4.583,1,0.0347,119.948,4,0.282,70
6reMZLKGViMsTo4GKSieII,0.00115,0.596,258064,0.92,0.888,9,0.92,0.121,-6.827,0,0.0655,105.998,4,0.135,44
6pP5d3assDh12cnYOfHTRm,0.0393,0.624,410720,0.000958,0,5,0.000958,0.261,-5.966,0,0.0509,99.452,4,0.98,31
6wSxHN5w9rBiyQRgfb2qJe,0.0407,0.598,271287,0.936,0.0143,4,0.936,0.117,-7.104,1,0.042,112.984,4,0.608,6
04cmtdRV6Him9AuMlEVAyy,0.00158,0.481,225000,0.895,0.0387,6,0.895,0.175,-4.295,1,0.0517,128.059,4,0.0663,26
2w82bUPpOjMzxVvKmprBhU,0.0212,0.541,232002,0.92,0.000328,0,0.92,0.115,-3.702,1,0.0638,175.994,4,0.737,38
2s1ZLxJZMyidMN68wswdXB,0.00114,0.665,218653,0.869,0.918,1,0.869,0.0507,-5.35,1,0.0435,130.005,4,0.526,28
0yMTmIJgYr5io0cw5l2Dvl,0.293,0.563,354560,0.655,0,9,0.655,0.792,-7.523,1,0.0633,92.047,4,0.357,20
6SkQYr5gktFOVp8eyR0poP,0.0321,0.519,237040,0.807,0,9,0.807,0.164,-5.414,0,0.0461,90.973,4,0.497,34
2Rvpp4M6goq37AgyHLXZF0,0.00809,0.53,200212,0.757,7.61e-06,8,0.757,0.245,-5.972,0,0.0263,133.973,4,0.775,43
25afwzQDRJpYWac2O14KTU,0.882,0.488,232800,0.182,0.282,1,0.182,0.0965,-21.865,0,0.0442,119.94,3,0.124,29
3JhlUFSZlL8QQvf8X8AiUm,0.893,0.541,180371,0.395,1.43e-05,0,0.395,0.117,-10.445,1,0.0406,82.853,4,0.309,5
3Zm72tJ85zTse3CtGdLMsB,0.0193,0.438,199492,0.625,0,11,0.625,0.106,-6.94,1,0.0289,99.548,4,0.353,20
6de1K03k0HdPE6ffX3qn0D,9.71e-05,0.476,180133,0.933,0.000134,7,0.933,0.25,-5.085,1,0.0453,152.109,4,0.782,3
4loAa1lBkE83qJXU1ddmCV,0.214,0.683,245664,0.329,3.74e-06,1,0.329,0.127,-9.155,0,0.123,149.957,4,0.229,51
7G6U07xz0N5yoU5xXFnTMY,0.454,0.758,174024,0.719,0,9,0.719,0.113,-5.268,0,0.275,144.248,4,0.302,23
4hprPU7DI8IvSQpRtIw2S8,0.646,0.209,62893,0.242,0.991,3,0.242,0.449,-15.946,0,0.0404,92.343,4,0.0393,28
